round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,0,100,0.6612115502357483,0.6300000548362732,0.5005199909210205,0.6300000548362732,0.6300000548362732,0,0,0.5,9.886393785476685
1,100,100,100,0,0,100,0.6324670314788818,0.687999963760376,0.5196449756622314,0.687999963760376,0.687999963760376,0,0,0.504,10.00556993484497
2,100,100,100,0,0,100,0.6086697578430176,0.6759999990463257,0.5297649502754211,0.6759999990463257,0.6759999990463257,0,0,0.5,8.210698127746582
3,100,100,100,0,0,100,0.5806723237037659,0.6520000696182251,0.5353200435638428,0.6520000696182251,0.6520000696182251,0,0,0.5085,9.66401743888855
4,100,100,100,0,0,100,0.5582280158996582,0.6619999408721924,0.5559049844741821,0.6619999408721924,0.6619999408721924,0,0,0.5145,9.552064180374146
5,100,100,100,0,0,100,0.5298062562942505,0.6190000176429749,0.5300800204277039,0.6190000176429749,0.6190000176429749,0,0,0.506,11.5724036693573
6,100,100,100,0,0,100,0.5178853273391724,0.6549999713897705,0.5634649991989136,0.6549999713897705,0.6549999713897705,0,0,0.5195,9.15719985961914
7,100,100,100,0,0,100,0.5091560482978821,0.5980000495910645,0.5479300022125244,0.5980000495910645,0.5980000495910645,0,0,0.512,10.850548028945923
8,100,100,100,0,0,100,0.49353545904159546,0.6710000038146973,0.5769200325012207,0.6710000038146973,0.6710000038146973,0,0,0.5215,11.215464115142822
9,100,100,100,0,0,100,0.49871277809143066,0.6179999709129333,0.5793250203132629,0.6179999709129333,0.6179999709129333,0,0,0.5345,6.198461055755615
10,100,100,100,0,0,100,0.4797322750091553,0.6169999837875366,0.5680049657821655,0.6169999837875366,0.6169999837875366,0,0,0.5185,7.518070936203003
11,100,100,100,0,0,100,0.4882372319698334,0.7289999127388,0.6323800086975098,0.7289999127388,0.7289999127388,0,0,0.6065,11.94115400314331
12,100,100,100,0,0,100,0.4877549111843109,0.6510000824928284,0.5859450101852417,0.6510000824928284,0.6510000824928284,0,0,0.53,10.210110425949097
13,100,100,100,0,0,100,0.4807448983192444,0.7670000195503235,0.6377350687980652,0.7670000195503235,0.7670000195503235,0,0,0.66,9.982813835144043
