round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,11,25,0.6904186606407166,0.5046296119689941,0.46335697174072266,0.48666664958000183,0.48666664958000183,0.5454545021057129,0.46335697174072266,0.46335697399527187,0.19187140464782715
1,93,71,65,6,22,49,0.6898465752601624,0.5046948194503784,0.46335697174072266,0.4931972920894623,0.4931972920894623,0.5303030014038086,0.46335697174072266,0.46335697399527187,0.08900237083435059
2,93,56,53,3,14,42,0.6919145584106445,0.4642857015132904,0.46335703134536743,0.4583333730697632,0.4583333730697632,0.48214277625083923,0.46335697174072266,0.46335697399527187,0.07373690605163574
3,97,57,54,3,11,46,0.6889784932136536,0.47514623403549194,0.46335703134536743,0.46557968854904175,0.46557968854904175,0.5151515603065491,0.46335697174072266,0.46335697399527187,0.2006087303161621
4,84,52,46,6,15,37,0.6900149583816528,0.4791666567325592,0.46335697174072266,0.45045042037963867,0.45045042037963867,0.550000011920929,0.46335697174072266,0.46335697399527187,0.07051897048950195
5,81,25,15,10,9,16,0.6908078193664551,0.4833333492279053,0.46335697174072266,0.4791666567325592,0.4791666567325592,0.49074071645736694,0.46335697174072266,0.46335697399527187,0.047177791595458984
6,74,52,44,8,15,37,0.6892601251602173,0.4887820780277252,0.46335697174072266,0.46171167492866516,0.46171167492866516,0.555555522441864,0.46335697174072266,0.46335697399527187,0.07269454002380371
7,73,64,52,12,20,44,0.6879640817642212,0.5130208134651184,0.46335697174072266,0.4848484694957733,0.4848484694957733,0.574999988079071,0.46335697174072266,0.46335697399527187,0.19605064392089844
8,70,46,34,12,17,29,0.6909254193305969,0.4746376872062683,0.46335694193840027,0.4511494040489197,0.4511494040489197,0.5147058963775635,0.46335697174072266,0.46335697399527187,0.06872177124023438
9,67,21,15,6,3,18,0.682476818561554,0.5317460298538208,0.46335697174072266,0.5185185074806213,0.5185185074806213,0.6111111044883728,0.46335697174072266,0.46335697399527187,0.04583334922790527
